game_id,player_id,season,week,team,opponent_team,player,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_LONG,kicking_PCT,kicking_PTS,passing_AVG,passing_INT,passing_QBR,passing_TD,passing_YDS,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_AVG,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,receiving_AVG,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,rushing_AVG,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS
401767620,5303745,2025,1,,,Calvin Swinney,,,,,,,,,,,,,,24.0,24.0,1.0,0.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,2.2,5.0,4.0,0.0,11.0
401767620,5303744,2025,1,,,Damon Head Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,5.0,4.0,0.0,8.0
401767620,5303746,2025,1,,,Jayden Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,0.0,4.0
401767620,4682924,2025,1,,,Angelo Butts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,4.0,0.0,24.0,3.0,1.0,3.0,0.0,3.0
401767620,5303739,2025,1,,,Clark Coleman,,,,,,,,,,,,,,,,,,,,,,6.8,1.0,,0.0,27.0,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,2.0
401767620,5222060,2025,1,,,Darryl Overstreet Jr.,,,,,,,,,,,,,,,,,,,,,,6.7,1.0,,1.0,174.0,,,,,,,,,,,,,,,,,-2.5,4.0,8.0,0.0,-10.0
401767620,5222064,2025,1,,,Mante Morrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,34.0,5.0,1.0,85.0,,,,,
401767620,5222070,2025,1,,,Eddie Burgess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,19.0,4.0,0.0,56.0,,,,,
401767620,5303762,2025,1,,,Logan Rosauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,18.0,1.0,0.0,18.0,,,,,
401767620,5303734,2025,1,,,Koda Gates-Bridges,,,,,,,,,,,,,,21.8,25.0,4.0,0.0,87.0,,,,,,,,,,,,,,,,,,,,2.0,4.0,2.0,0.0,4.0,,,,,
401767620,5303750,2025,1,,,Christian Lassiter,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,2.5,6.0,2.0,0.0,5.0,,,,,,,,,,,,,,,,
401767620,5303753,2025,1,,,Master Brooks,,,,,,,,1.0,0.0,0.0,,,,-3.0,0.0,1.0,0.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401767620,5222071,2025,1,,,Tade Parsons,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401767620,5232562,2025,1,,,Nathan Behne,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,43.7,0.0,52.0,6.0,1.0,262.0,,,,,,,,,,
401767620,5224673,2025,1,,,Hank Foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,46.0,5.0,2.0,127.0,,,,,
401767620,5144023,2025,1,,,Jackson Voth,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,19.0,3.0,0.0,29.0,,,,,,,20.5,35.0,4.0,0.0,82.0,,,,,
401767620,5101286,2025,1,,,Jaden Meizinger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,22.0,3.0,1.0,37.0,3.6,14.0,23.0,0.0,51.0
401767620,5298781,2025,1,,,Chase Schutty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,19.0,3.0,0.0,33.0,,,,,
401767620,5085683,2025,1,,,Luke Woodson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,0.0,1.0,0.0,-1.0,3.0,16.0,8.0,0.0,48.0
401767620,5224677,2025,1,,,Garrison Codde,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401767620,5298749,2025,1,,,Karson Kindred,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401767620,5085685,2025,1,,,Taj Hughes,,,,,,,,,,,,,,10.0,10.0,1.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,13.0,0.0,36.0
401767620,5298773,2025,1,,,Harry Balke,,,,,,,,,,,,,,,,,,,42.0,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
401767620,5085712,2025,1,,,Ryan Schroeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,0.0,59.0,3.0,0.0,135.0,,,,,,,,,,
401767620,5225940,2025,1,,,Chase Spellman,,,,,,,,,,,,,,,,,,,,,,14.6,1.0,,2.0,233.0,,,,,,,,,,,,,,,,,5.3,7.0,28.0,2.0,37.0
401767620,5085676,2025,1,,,Xavier Washington,,,,,,,,,,,,,,,,,,,,,,11.3,0.0,,1.0,45.0,,,,,,,,,,,,,,,,,,,,,
401767620,-5838,2025,1,,, Team,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
401767620,5298738,2025,1,,,Lucci Fidone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,14.0,0.0,14.0
401767620,5298748,2025,1,,,Nick Herman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,6.0,0.0,8.0
401767620,5152379,2025,1,,,Jake Metze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.0,7.0,0.0,7.0
401767547,5304707,2025,1,,,Griffin Scalf,,,,,,,,3.0,2.0,0.0,,,,,,,,,,,,4.3,1.0,,0.0,98.0,,,,,,,,,,,,,,,,,-0.6,5.0,6.0,0.0,-3.0
401767547,5304711,2025,1,,,Chase Crone,,,,,,,,,,,,,,,,,,,,,,6.6,1.0,,0.0,33.0,,,,,,,,,,,,,,,,,,,,,
401767547,5304723,2025,1,,,Demetrick Welch Jr.,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,7.0,7.0,1.0,0.0,7.0,1.0,4.0,4.0,0.0,4.0
401767547,5304704,2025,1,,,Eli White,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,12.0,27.0,0.0,33.0
401767547,5115312,2025,1,,,Kamalie Pemberton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,6.0,0.0,16.0
401767547,5194062,2025,1,,,Javion Bostic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,1.0,0.0,11.0,9.0,1.0,9.0,0.0,9.0
401767547,5304727,2025,1,,,Josh Moody,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,0.0,2.0
401767547,5084375,2025,1,,,Shyhiem Drew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,18.0,3.0,0.0,24.0,-1.0,1.0,0.0,0.0,-1.0
401767547,5095945,2025,1,,,Brooks Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,24.0,2.0,0.0,33.0,,,,,
401767547,5097312,2025,1,,,Preston Agee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,9.0,3.0,0.0,14.0,,,,,
