player_id,season,player,position,team,conference,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
560158,2026,Eric Jones,DB,Elon,Coastal Athletic,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4432703,2026,Jake Garcia,QB,Furman,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,15.0,1.0,0.536,0.0,183.0,6.5,,,,,,,,,,,,,,,,,9.0,20.0,0.0,51.0,5.7
4433968,2026,Byron Cardwell,RB,Mercyhurst,NEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,2.0,0.0,17.0,8.5,5.0,2.0,0.0,-4.0,-0.8
4569498,2026,Anthony Pecorella,P,Maine,Coastal Athletic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,50.0,7.0,2.0,287.0,41.0,,,,,,,,,,
4594322,2026,Shambre Jackson,DL,Concord,Mountain East,0.0,1.0,1.5,2.0,0.0,1.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683116,2026,Carston Marshall,LB,Youngstown State,MVFC,0.0,0.0,0.0,3.0,0.0,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4683136,2026,Tae'Shaun Johnson,WR,Gardner-Webb,OVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,0.0,4.0,4.0,,,,,
4683544,2026,Zay Franks,DB,SE Louisiana,Southland,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4684061,2026,T.J. Lockley,WR,West Georgia,UAC,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,57.0,57.0,,,,,,,,,,,,10.0,4.0,0.0,29.0,7.3,,,,,
4685440,2026,Kyle Lowe,QB,SE Louisiana,Southland,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,27.0,17.0,1.0,0.63,2.0,150.0,5.6,,,,,,,,,,,,,,,,,7.0,55.0,1.0,54.0,7.7
4685535,2026,C.J. Stokes,RB,Furman,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,0.0,5.0,5.0,11.0,12.0,0.0,37.0,3.4
