player_id,name,pa,era,xera,woba,xwoba
645261,Sandy Alcantara,598,4.01,3.74,0.308,0.3
650911,Cristopher Sánchez,578,2.73,3.35,0.293,0.285
608379,Michael Wacha,538,3.6,4.24,0.308,0.318
669358,Shane Baz,526,3.98,4.3,0.322,0.32
592332,Kevin Gausman,515,4.51,3.93,0.308,0.307
693645,Cam Schlittler,515,2.07,2.93,0.252,0.267
642547,Freddy Peralta,512,4.99,3.82,0.344,0.303
667755,José Soriano,511,3.29,4.33,0.288,0.321
676440,Tanner Bibee,510,3.89,4.48,0.306,0.326
666200,Jesús Luzardo,509,3.31,2.84,0.287,0.263
668909,Gavin Williams,508,3.78,4.07,0.297,0.312
543135,Nathan Eovaldi,507,4.05,3.93,0.314,0.307
677952,Braxton Ashcraft,507,4.05,3.48,0.306,0.29
671096,Andrew Abbott,505,3.85,4.73,0.317,0.334
593958,Eduardo Rodriguez,505,2.64,4.96,0.304,0.341
664285,Framber Valdez,503,4.53,4.27,0.321,0.319
656492,Foster Griffin,499,2.76,3.9,0.282,0.306
607625,Seth Lugo,499,4.36,5.4,0.344,0.354
669022,MacKenzie Gore,498,4.82,3.93,0.315,0.307
800048,Parker Messick,496,2.58,3.14,0.266,0.276
669302,Logan Gilbert,496,3.44,3.63,0.278,0.296
690997,Nolan McLean,496,3.32,3.5,0.284,0.291
672282,Reid Detmers,493,4.05,3.3,0.279,0.283
650633,Michael King,491,3.24,4.57,0.287,0.329
694973,Paul Skenes,490,3.65,2.82,0.281,0.262
592662,Robbie Ray,490,3.16,4.51,0.306,0.327
684007,Shota Imanaga,487,3.72,3.63,0.304,0.296
547179,Michael Lorenzen,482,6.53,5.62,0.393,0.36
680732,Sean Burke,482,3.19,3.43,0.293,0.288
808967,Yoshinobu Yamamoto,481,2.72,3.18,0.245,0.278
671737,Taj Bradley,481,3.69,3.93,0.301,0.307
693821,Bryce Elder,479,3.96,3.96,0.309,0.308
676917,Cade Cavalli,478,3.58,3.93,0.306,0.307
680694,Kyle Bradish,477,3.49,3.85,0.308,0.304
669923,George Kirby,477,3.57,3.74,0.319,0.3
676282,Joey Cantillo,475,4.02,3.87,0.334,0.305
693433,Bryan Woo,475,4.37,3.5,0.287,0.291
605400,Aaron Nola,475,5.82,4.3,0.364,0.32
702070,Noah Cameron,473,4.93,4.93,0.333,0.34
607259,Nick Martinez,473,2.46,4.33,0.288,0.321
657746,Joe Ryan,472,3.38,3.48,0.293,0.29
669467,Andre Pallante,469,3.77,3.63,0.295,0.296
656605,Mitch Keller,464,4.9,5.23,0.323,0.349
657277,Logan Webb,463,3.98,4.01,0.283,0.31
663436,Davis Martin,463,3.49,4.3,0.304,0.32
607067,Colin Rea,462,4.86,5.55,0.345,0.358
676974,Max Meyer,462,2.68,3.85,0.281,0.304
605488,Jeffrey Springs,459,6.23,4.86,0.369,0.338
694738,Landen Roupp,457,3.93,3.35,0.294,0.285
669372,J.T. Ginn,457,3.46,3.96,0.293,0.308
656302,Dylan Cease,457,2.46,2.77,0.253,0.26
694819,Jacob Misiorowski,456,1.57,1.96,0.208,0.218
677960,Ryan Weathers,456,4.25,4.48,0.317,0.326
677944,Slade Cecconi,455,4.6,4.7,0.34,0.333
700241,Michael McGreevy,454,3.07,5.44,0.3,0.355
663903,Brady Singer,454,4.53,4.99,0.35,0.342
607536,Kyle Freeland,452,7.34,5.62,0.39,0.36
518876,Merrill Kelly,451,5.12,7.25,0.366,0.4
519242,Chris Sale,451,2.19,3.16,0.267,0.277
701542,Will Warren,450,4.41,4.57,0.338,0.329
594798,Jacob deGrom,446,3.67,3.53,0.28,0.292
641743,Anthony Kay,444,4.21,5.3,0.342,0.351
696149,Bubba Chandler,442,4.47,3.98,0.311,0.309
669160,Dustin May,441,4.59,3.96,0.312,0.308
668678,Zac Gallen,440,6.34,6.51,0.372,0.383
656876,Drew Rasmussen,439,3.07,3.11,0.256,0.275
669461,Matthew Liberatore,437,5.18,5.26,0.36,0.35
571945,Miles Mikolas,435,5.65,5.19,0.347,0.348
669432,Trevor Rogers,435,4.17,4.1,0.306,0.313
621111,Walker Buehler,434,5.13,4.42,0.331,0.324
641793,Zack Littell,434,5.17,6.23,0.348,0.376
695505,Chase Burns,433,2.42,3.14,0.277,0.276
681517,Kyle Leahy,432,3.55,5.16,0.328,0.347
543243,Sonny Gray,431,2.78,3.79,0.3,0.302
680736,Justin Wrobleski,424,2.62,4.07,0.259,0.312
681347,Mike Burrows,423,5.99,4.79,0.375,0.336
607200,Erick Fedde,423,4.25,4.7,0.341,0.333
656550,Grant Holmes,422,3.79,4.7,0.319,0.333
672456,Keider Montero,419,3.14,3.38,0.257,0.286
622491,Luis Castillo,417,4.85,4.39,0.327,0.323
687064,Brandon Young,415,3.13,4.1,0.301,0.313
676106,Emerson Hancock,414,3.16,4.3,0.271,0.32
677958,Kumar Rocker,411,4.13,4.6,0.312,0.33
656849,David Peterson,406,5.97,5.23,0.342,0.349
608372,Tomoyuki Sugano,405,4.69,7.25,0.351,0.4
663567,Peter Lambert,405,3.03,3.45,0.278,0.289
808963,Roki Sasaki,399,4.71,4.33,0.342,0.321
691587,Eury Pérez,399,3.56,3.98,0.298,0.309
663556,Shane McClanahan,397,3.09,4.15,0.271,0.315
686218,Emmet Sheehan,396,4.95,3.76,0.333,0.301
681190,Randy Vásquez,396,4.68,6.68,0.366,0.387
624133,Ranger Suarez,391,3.02,3.3,0.276,0.283
813349,Connelly Early,390,3.44,4.33,0.319,0.321
656427,Jack Flaherty,389,4.59,4.39,0.329,0.323
681293,Spencer Arrighetti,386,4.6,5.09,0.321,0.345
605288,Adrian Houser,382,4.86,5.23,0.344,0.349
669387,Carmen Mlodzinski,381,3.36,4.89,0.311,0.339
554430,Zack Wheeler,380,2.16,2.6,0.245,0.252
700712,Walbert Ureña,378,2.78,3.28,0.285,0.282
640455,Sean Manaea,377,4.52,4.42,0.342,0.324
687075,Brandon Sproat,373,5.09,4.83,0.348,0.337
801139,Payton Tolle,367,3.31,2.93,0.283,0.267
650644,Aaron Civale,361,5.35,5.06,0.387,0.344
571578,Patrick Corbin,360,5.51,5.47,0.364,0.356
641816,Tyler Mahle,359,5.31,4.24,0.345,0.318
683004,Jack Leiter,355,5.29,4.79,0.339,0.336
669194,Ryne Nelson,355,4.97,5.23,0.335,0.349
702056,Trey Yesavage,353,3.92,3.3,0.288,0.283
695076,Rhett Lowder,353,5.61,5.58,0.345,0.359
669373,Tarik Skubal,349,2.7,2.88,0.267,0.265
527048,Martín Pérez,349,3.38,4.57,0.297,0.329
641778,Eric Lauer,346,4.83,4.93,0.333,0.34
675660,Shane Drohan,342,3.51,3.3,0.294,0.283
641927,Bailey Ober,342,4.56,4.39,0.322,0.323
663969,Tyler Phillips,342,3.52,4.76,0.319,0.335
690986,Kyle Harrison,341,3.01,3.16,0.283,0.277
663554,Casey Mize,341,2.7,3.07,0.26,0.273
660271,Shohei Ohtani,340,1.79,2.71,0.238,0.257
643377,Griffin Jax,334,3.89,5.02,0.311,0.343
647336,Michael Soroka,333,3.07,3.98,0.284,0.309
592791,Jameson Taillon,326,5.92,5.84,0.368,0.366
694477,Chad Patrick,319,3.45,4.01,0.299,0.31
805673,Zebby Matthews,319,5.21,4.73,0.343,0.334
678394,Brayan Bello,317,5.6,5.88,0.355,0.367
676083,Janson Junk,316,4.89,4.01,0.332,0.31
687570,Connor Prielipp,312,4.73,4.01,0.315,0.31
686790,Trevor McDonald,310,5.12,4.07,0.323,0.312
665795,Edward Cabrera,309,5.1,4.86,0.34,0.338
663372,Ryan Feltner,308,5.73,5.84,0.362,0.366
693855,Ian Seymour,306,4.64,3.53,0.301,0.292
625643,Reynaldo López,306,3.64,4.6,0.321,0.33
682052,Jacob Lopez,302,6.12,3.85,0.361,0.304
678906,Kai-Wei Teng,301,4.35,4.73,0.335,0.334
691725,Andrew Painter,299,7.06,5.19,0.388,0.348
686799,Jack Kochanowicz,296,6.19,5.58,0.331,0.359
679883,Luinder Avila,294,4.81,4.83,0.349,0.337
678022,Jack Perkins,285,6.75,4.18,0.341,0.316
688642,Zach Agnos,281,6.42,5.69,0.366,0.362
694297,Brandon Pfaadt,280,4.43,4.15,0.322,0.315
666157,Nick Lodolo,279,4.6,6.15,0.355,0.374
656288,Griffin Canning,279,6.97,4.96,0.371,0.341
805123,AJ Blubaugh,275,3.74,4.04,0.3,0.311
693686,Spencer Miles,274,3.33,3.09,0.26,0.274
681035,Christian Scott,271,3.13,3.98,0.303,0.309
622663,Luis Severino,271,4.17,4.24,0.345,0.318
663978,Chris Paddack,267,6.79,4.99,0.369,0.342
676962,Ben Brown,265,1.85,3.21,0.228,0.279
680573,Simeon Woods Richardson,265,6.4,5.96,0.387,0.369
682243,Bryce Miller,264,2.75,2.65,0.267,0.254
676879,Aaron Ashby,262,3.3,3.0,0.299,0.27
665871,Javier Assad,262,3.86,4.64,0.305,0.331
605135,Chris Bassitt,261,5.27,5.06,0.366,0.344
623454,Drew Anderson,260,4.25,3.3,0.324,0.283
837227,Tatsuya Imai,258,5.59,4.89,0.329,0.339
685299,Tanner Gordon,257,5.9,4.73,0.394,0.334
608331,Max Fried,256,2.97,2.48,0.231,0.246
543037,Gerrit Cole,255,3.92,3.5,0.303,0.291
702273,Noah Schultz,253,6.04,6.03,0.355,0.371
695418,Brad Lord,248,3.88,4.18,0.291,0.316
608718,Brent Suter,247,4.42,4.36,0.325,0.322
571510,Matthew Boyd,246,3.81,4.39,0.306,0.323
695611,Gage Jump,245,4.42,4.21,0.341,0.317
688107,Robert Gasser,242,4.71,3.74,0.326,0.3
670990,Yohan Ramírez,242,3.31,3.82,0.308,0.303
660761,José Suarez,237,4.25,3.58,0.325,0.294
675512,Troy Melton,236,1.95,3.18,0.26,0.278
702275,JR Ritchie,236,4.5,4.79,0.324,0.336
670245,Ryan Watson,235,4.45,5.73,0.326,0.363
674841,Andrew Alvarez,233,4.22,4.57,0.329,0.329
656794,Sean Newcomb,232,2.38,3.9,0.27,0.306
571927,Steven Matz,230,6.28,5.84,0.351,0.366
670970,Adrian Morejon,230,3.19,2.56,0.253,0.25
615698,Cal Quantrill,230,4.05,4.89,0.322,0.339
669199,Lake Bachar,229,4.12,3.71,0.296,0.299
687562,Jake Bennett,229,2.58,3.14,0.247,0.276
663623,Jake Irvin,228,5.23,5.23,0.325,0.349
663568,Stephen Kolek,224,4.5,3.82,0.328,0.303
677865,Justin Bruihl,223,3.83,4.3,0.312,0.32
593974,Wandy Peralta,221,3.04,4.33,0.318,0.321
621112,Paul Blackburn,217,1.93,3.55,0.252,0.293
605280,Clay Holmes,215,2.39,3.9,0.258,0.306
656271,Brock Burke,215,2.66,4.3,0.293,0.32
680755,Braydon Fisher,214,4.15,3.9,0.304,0.306
691799,Grant Taylor,212,2.58,2.23,0.254,0.233
676760,Ron Marinaccio,212,5.03,5.13,0.372,0.346
702193,Andrew Morris,212,3.24,2.86,0.284,0.264
622608,Antonio Senzatela,211,3.53,3.45,0.291,0.289
